x,y,z,yaw
-15.608733177185059,-28.247404098510742,-32.77760314941406,2.3896384239196777
-13.9497709274292,-27.10916519165039,-30.891071319580078,2.380204200744629
-12.373635292053223,-26.03108787536621,-29.099620819091797,2.373044729232788
-10.876425743103027,-25.008169174194336,-27.398975372314453,2.3679163455963135
-9.453152656555176,-24.03839874267578,-25.78463363647461,2.364558458328247
-8.096757888793945,-23.11948585510254,-24.251304626464844,2.362447500228882
-6.810692310333252,-22.24367332458496,-22.797632217407227,2.360976457595825
-5.592577934265137,-21.387752532958984,-21.42234992980957,2.353400468826294
-4.46480131149292,-20.554895401000977,-20.57552146911621,2.3781023025512695
-2.014504909515381,-21.064411163330078,-19.523239135742188,2.419276237487793
